train_loss,val_loss,train_dice,val_dice,train_jaccard,val_jaccard
1.319147115916162,1.2609139260123758,0.4992042,0.584694,0.3537482,0.42646688
1.2204366839347194,1.174009901635787,0.56779647,0.6438396,0.41709766,0.49098706
1.140772178398436,1.1031584914992838,0.59691113,0.56002563,0.4403609,0.40863258
1.076164602343716,1.042053857270409,0.60153645,0.68435943,0.44414067,0.5297173
1.016187050745855,0.978803301558775,0.5915368,0.6278525,0.43351802,0.47095495
0.9577283109005411,0.9145750806612127,0.61703455,0.6935317,0.460259,0.5445039
0.8905002439199988,0.8430556409499225,0.66435736,0.6845944,0.5139379,0.548314
0.8136563793343691,0.7499687724253711,0.6976028,0.74297315,0.5559043,0.6030488
0.7078894059456403,0.6293677775298848,0.74993485,0.7415193,0.6165607,0.61314327
0.588555507695497,0.508078519912327,0.7688776,0.7555024,0.6438569,0.6336837
0.46590433013972954,0.3853425326592782,0.7936599,0.82454604,0.67295223,0.70900905
0.3731289325068839,0.31071874893763485,0.8074063,0.8400636,0.6903756,0.7315877
0.3163569622965001,0.28075996348086524,0.81245506,0.8146139,0.69671386,0.7069539
0.2775064854331277,0.24404949300429402,0.81626755,0.83104116,0.70459,0.72165155
0.24061967662317835,0.21239982260500684,0.8336217,0.8518048,0.7272605,0.7471794
0.21641650425260933,0.20304682653616457,0.8434007,0.84641427,0.7382908,0.74094164
0.20004729689353734,0.19703869565444834,0.84999555,0.84596205,0.7479793,0.7411952
0.19222393476251345,0.1869066173539442,0.8507028,0.8502345,0.74929035,0.74764067
0.18840118497610092,0.19276629256851532,0.849082,0.8380833,0.74760824,0.7380872
0.1879979842411938,0.1852672663243378,0.84558684,0.8454007,0.7437012,0.7391626
0.18796689007709275,0.18469570730538928,0.84320986,0.8436248,0.7392788,0.7383771
0.16977324879807026,0.1858625078902525,0.857801,0.83908117,0.75912124,0.7322391
0.17556009400839828,0.15682740871082335,0.84989494,0.8654525,0.74696845,0.76942205
0.16003227613829263,0.16161870025098324,0.8630839,0.85929465,0.7676965,0.7599561
0.1579688536512911,0.1742514701669707,0.86378247,0.84536034,0.76763386,0.7425683
0.1554964363982725,0.1645035456646891,0.8648384,0.8542317,0.7685774,0.75409484
0.14281350257458972,0.1503494367660845,0.8763986,0.8675091,0.7855319,0.77306694
0.137360391109737,0.14999630718546755,0.8816498,0.86774933,0.7933348,0.7736213
0.13547087141975242,0.1478741761735257,0.8834485,0.8695828,0.79599774,0.7757816
0.13425213630445562,0.14654088162762277,0.88441074,0.87096786,0.79739803,0.7782786
0.13327145005636548,0.1431340671637479,0.88534015,0.8743253,0.79893637,0.7826737
0.13257664746016412,0.14312604102579987,0.88579166,0.87430316,0.79958236,0.7823894
0.13150272598091642,0.1429492704132024,0.88665575,0.87452716,0.800859,0.7827003
0.13065347440577857,0.14276564099332867,0.88752717,0.8742667,0.80221057,0.7823848
0.1306728912118952,0.14030592362670338,0.88726103,0.8770362,0.80172014,0.7865127
0.12918429827289796,0.14023000231998808,0.8885704,0.8769193,0.8038189,0.7862494
0.1288782783334528,0.13887541324776762,0.88868827,0.8781425,0.80407745,0.78815144
0.12832909414720772,0.13988129170063665,0.88918126,0.87664944,0.8047455,0.78584516
0.12736752788670622,0.1379796896568116,0.8899481,0.87889725,0.80595905,0.7889112
0.12720531208524063,0.13772302153794205,0.8899266,0.87899846,0.8058177,0.7893729
0.12610307452616407,0.14037269814049497,0.8909268,0.8759297,0.80737424,0.7848757
0.12575803063253857,0.13775310774936395,0.89110297,0.87867486,0.8075542,0.7889324
0.12560772929173797,0.1368714554564041,0.89113104,0.87964106,0.80764514,0.7901689
0.1248497982226794,0.13839503311935594,0.89174443,0.87777615,0.80846775,0.7874377
0.12392121253173742,0.13957098104497967,0.89250404,0.87648505,0.8096477,0.7856859
0.1234929947117668,0.14063494115629616,0.89283895,0.8755536,0.81021905,0.7841563
0.12242220955627475,0.13927546012050965,0.8938352,0.87659836,0.8116466,0.7859487
0.12197349396585232,0.13906923056963613,0.8942133,0.8767928,0.8122054,0.78620636
0.12187382812375452,0.13923390472636504,0.8942581,0.8765843,0.8123179,0.785991
0.1216496669534427,0.13921752396751852,0.89451516,0.87657577,0.81270957,0.7859764
